CustomerId,FirstTransactionDate,FirstChannel,FirstTransactionYear
c551b230c3867,2021/01/01,台中勤美門市,2021
ca71a4d0c8b1e,2021/01/01,台中勤美門市,2021
c6cfd580c8537,2021/01/01,台北京站門市,2021
c49638f0c67d3,2021/01/01,台北京站門市,2021
c0084970c95e1,2021/01/01,台北京站門市,2021
cc688710c6a00,2021/01/01,台北京站門市,2021
cd44470fcbe1b,2021/01/01,台北京站門市,2021
c57f0c30c5956,2021/01/01,台北信義門市,2021
c551e5f0c6ded,2021/01/01,台北信義門市,2021
ca715ce0c3d6f,2021/01/01,台北信義門市,2021
c4963800c51a0,2021/01/01,台北南西門市,2021
cc23cdd0c4c90,2021/01/01,台北南西門市,2021
cf4358b0c73a9,2021/01/01,台北南西門市,2021
cf435840c6189,2021/01/01,台北南西門市,2021
c3c573f0c88ef,2021/01/01,台北統一門市,2021
c3cfa2a0c7b0a,2021/01/01,台北統一門市,2021
c3db35f0c7bef,2021/01/01,台北統一門市,2021
c551b450c3b1f,2021/01/01,台北統一門市,2021
cb8aa2a0c8975,2021/01/01,台北統一門市,2021
cf8783b0c853a,2021/01/01,台北統一門市,2021
c3cfa1d0c55b3,2021/01/01,官網,2021
c3cfa6e0cafb2,2021/01/01,官網,2021
c3db3770cbe53,2021/01/01,官網,2021
c4ed08a693434,2021/01/01,官網,2021
c6cfd1f0bfcd5,2021/01/01,官網,2021
c09c791e8fd31,2021/01/01,官網,2021
c27e5140b7dbb,2021/01/01,官網,2021
c44c9e80c4f59,2021/01/01,官網,2021
c478e820c418b,2021/01/01,官網,2021
c478eb70cafdc,2021/01/01,官網,2021
c574f5d0cb260,2021/01/01,官網,2021
c49637b0c4f52,2021/01/01,官網,2021
c49639b0c8ccc,2021/01/01,官網,2021
c0084830c26e3,2021/01/01,官網,2021
c3482760c9f04,2021/01/01,官網,2021
c4963670c0521,2021/01/01,官網,2021
cacdc100cb677,2021/01/01,官網,2021
cf435af0c956f,2021/01/01,官網,2021
cf877fb0bddaa,2021/01/01,官網,2021
cf435850c5ddc,2021/01/01,官網,2021
cf878350c8f07,2021/01/01,官網,2021
c57f1390c62c8,2021/01/01,新竹巨城門市,2021
cacdbf20c4a85,2021/01/01,新竹巨城門市,2021
cc688750c6dd2,2021/01/01,新竹巨城門市,2021
c6cfd0a0c0dca,2021/01/01,高雄巨蛋門市,2021
c574f2e0c3be2,2021/01/01,高雄巨蛋門市,2021
c83d75d0dcf48,2021/01/02,台北京站門市,2021
c9208c10de071,2021/01/02,台北京站門市,2021
c53149b0d8758,2021/01/02,台北京站門市,2021
ca10d9d0dd50b,2021/01/02,台北京站門市,2021
cd824770d75de,2021/01/02,台北京站門市,2021
cf435d90d5a6d,2021/01/02,台北京站門市,2021
c551eb00c733a,2021/01/02,台北信義門市,2021
c9208ba0dbd80,2021/01/02,台北南西門市,2021
cfeea130def8a,2021/01/02,台北南西門市,2021
c1a34e20da922,2021/01/02,官網,2021
c2f4b56079c0e,2021/01/02,官網,2021
c3c2067ce1cd1,2021/01/02,官網,2021
c3cfa6c0d7bc4,2021/01/02,官網,2021
c3db3a30d5f90,2021/01/02,官網,2021
c6cfce80d824c,2021/01/02,官網,2021
c8e24070dfd5b,2021/01/02,官網,2021
c45d7c8035e9e,2021/01/02,官網,2021
c46adbed13aa0,2021/01/02,官網,2021
c83d76e0e0233,2021/01/02,官網,2021
c83d7670df5ee,2021/01/02,官網,2021
c85a0cd0de03a,2021/01/02,官網,2021
c85e8760dd6fd,2021/01/02,官網,2021
c96e4570de155,2021/01/02,官網,2021
c146b05f75e78,2021/01/02,官網,2021
c908ebdebb845,2021/01/02,官網,2021
c967fe10de116,2021/01/02,官網,2021
c5314f70cd4c1,2021/01/02,官網,2021
c9208c70de71e,2021/01/02,官網,2021
c24886b0d4daf,2021/01/02,官網,2021
c24887d0d797b,2021/01/02,官網,2021
c34857e04b61c,2021/01/02,官網,2021
c93652a0dd970,2021/01/02,官網,2021
c9365440e0ba8,2021/01/02,官網,2021
ca7c0530db42e,2021/01/02,官網,2021
ca10dad0df676,2021/01/02,官網,2021
cab26be0ddd84,2021/01/02,官網,2021
cab26c50dee41,2021/01/02,官網,2021
cab26dd0e0144,2021/01/02,官網,2021
cacdc2c0d5618,2021/01/02,官網,2021
cb1ada30dded3,2021/01/02,官網,2021
cc094ad0dffed,2021/01/02,官網,2021
cc210bce5f283,2021/01/02,官網,2021
cc688bb0d3b7f,2021/01/02,官網,2021
cc688c50d70fb,2021/01/02,官網,2021
cc0948e0db42c,2021/01/02,官網,2021
ccecdb20e01f4,2021/01/02,官網,2021
ccecdb30dfe3d,2021/01/02,官網,2021
ccfd8060de3a4,2021/01/02,官網,2021
ccfd8100df36f,2021/01/02,官網,2021
cd824710d87fa,2021/01/02,官網,2021
ce8f4840dde7b,2021/01/02,官網,2021
ce76960fb2228,2021/01/02,官網,2021
cebc9ba0ddf46,2021/01/02,官網,2021
cebc9c20df2ad,2021/01/02,官網,2021
cebc9c20e0af9,2021/01/02,官網,2021
cee3059044394,2021/01/02,官網,2021
cf89c810dcbb5,2021/01/02,官網,2021
cf89c830de2b2,2021/01/02,官網,2021
cf89c860ddd9e,2021/01/02,官網,2021
cf4430f0ddda9,2021/01/02,官網,2021
cf878600d75fa,2021/01/02,官網,2021
cfee9fc0df703,2021/01/02,官網,2021
